test_id,category,fetch_fault,rf_fault,fw_pass,trap_seen,fetch_single_cnt,fetch_double_cnt,fetch_fatal_cnt,rf_single_err,rf_double_err,rf_fatal,result
202,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
203,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
204,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
205,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
206,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
207,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
208,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
209,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
210,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
211,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
212,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
213,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
214,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
215,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
216,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
217,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
218,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
219,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
220,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
221,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
222,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
223,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
224,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
225,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
226,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
227,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
228,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
229,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
230,A1,fetch_single,none,1,0,1,0,0,0,0,0,PASS
